epochs,Train_loss,Train_Accuracy,Validation_loss,Validation_Accuracy,Time_Taken
1,2.698774123643812,0.33988447867298577,0.9108989723026752,0.7515625,125.13529515266418
2,1.0856792332154315,0.6820497630331753,0.5148525689728558,0.85390625,127.25895977020264
3,0.7806488237392281,0.7663803317535546,0.46035976335406303,0.875,125.88150882720947
4,0.6444337479946738,0.8029620853080569,0.33395227137953043,0.897265625,126.7176718711853
5,0.5382257551307926,0.8358560426540285,0.308201537001878,0.894921875,126.68435525894165
6,0.49186121294566243,0.849066943127962,0.3027209732681513,0.8984375,127.61578059196472
7,0.4389922821726562,0.8664691943127961,0.20930384600069374,0.93359375,129.37951683998108
8,0.3951998638492342,0.8795764218009479,0.2672356250695884,0.91796875,127.86485576629639
9,0.3700920538756096,0.8858560426540285,0.23773601651191711,0.932421875,125.78933572769165
10,0.3478518171827375,0.8943424170616114,0.25054825004190207,0.923828125,126.69027161598206
11,0.31746513187285,0.9010219194312796,0.2656432413496077,0.923828125,125.92047333717346
12,0.29819614653833104,0.908649289099526,0.21481352020055056,0.940234375,126.40826535224915
13,0.2785764014463148,0.9122186018957347,0.22625416639493778,0.927734375,126.22220301628113
14,0.2703046841255579,0.9165728672985781,0.2297444095602259,0.92578125,126.62704014778137
15,0.2695705392022763,0.9154620853080568,0.2415792082902044,0.9296875,134.53977251052856
16,0.243473356706642,0.92551836492891,0.2056860621087253,0.9296875,127.52534294128418
17,0.23968514590855175,0.9230746445497631,0.2562047285027802,0.912109375,126.58637356758118
18,0.23473371721592276,0.9260811611374407,0.2634591106325388,0.931640625,127.1208746433258
19,0.22360818763815254,0.9287618483412322,0.2034971808316186,0.935546875,127.44894123077393
20,0.2086756124748226,0.9357523696682464,0.23680261912522838,0.939453125,126.72179126739502
21,0.21253763013011753,0.9348193127962084,0.22746757458662614,0.92265625,127.52546000480652
22,0.20248731727363162,0.9351303317535545,0.21956495894119143,0.935546875,126.3021490573883
23,0.20360046677441465,0.9353821090047393,0.2300563412718475,0.92578125,127.52935695648193
24,0.18459734901503363,0.9437944312796208,0.24239460297394544,0.924609375,151.1672399044037
25,0.20609171928890863,0.9362559241706162,0.21535133046563715,0.9421875,150.55027508735657
26,0.18326832600582338,0.941720971563981,0.23477748350705951,0.94609375,148.989848613739
27,0.17072862252963805,0.9458234597156397,0.25122828281018883,0.931640625,156.31196689605713
28,0.18493406281815356,0.942343009478673,0.2299242252483964,0.931640625,154.28882789611816
29,0.16631446551902318,0.9474229857819905,0.24060031969565898,0.9375,110.50192904472351
30,0.16961508301435418,0.94635663507109,0.2220753093715757,0.936328125,106.85739850997925
